,Название статьи,Дата,Кол-во просмотров
0,Флаг Украины третий год в «чёрном списке» Парижского меморандума по мореплаванию,25.08.2020,205
1,Мэр Одессы вручил награды спасателям во время пожара на Троицкой,25.08.2020,143
2,"Рада увеличила минимальную зарплату до 5 тысяч гривен, о пенсиях — ни слова",25.08.2020,158
3,Одесская теннисистка вышла в третий раунд турнира в Нью-Йорке,25.08.2020,153
4,Одесса в «жёлтой» зоне: за сутки 65 новых случаев COVID-19,25.08.2020,243
5,"СOVID-19 в Одесской области: 112 случаев за сутки, но без летальных",25.08.2020,406
6,"В Украине уже свыше 108 тысяч случаев COVID-19, в том числе у Юлии Тимошенко",25.08.2020,235
7,В Одессе стартовала регата крейсерских яхт,25.08.2020,175
8,Зеленский ко Дню независимости отметил труд нескольких жителей Одесской области,25.08.2020,1529
9,День независимости в Одессе: радикалы напали на нардепа Плачкову,25.08.2020,320
10,Праздники закончились: кому в Одессе 25 августа отключат свет,24.08.2020,670
11,Такого на границе не было: чиновница из Киева прибыла с рабочим визитом с детьми и подругой,24.08.2020,1243
12,Одесса отмечает День независимости Украины,24.08.2020,730
13,"COVID-19 в Одессе: за сутки 121 новый больной, вспышка болезни в «чумке»",23.08.2020,500
14,Одесса 23 августа отмечает День Государственного Флага Украины,23.08.2020,389
15,$2 500 — столько требовала одесская чиновница за разрешение открыть автозаправку,23.08.2020,423
16,"Спуск Маринеско в Одессе отремонтирован, пустили трамваи",22.08.2020,469
17,Теперь Германия станет к Одессе ближе,22.08.2020,668
18,COVID-19 в Одессе: за сутки зарегистрировано 115 новых больных,22.08.2020,593
19,Аппетиты у коронавируса в Одесской области растут: новых 210 больных за сутки,22.08.2020,432
20,В Украине вновь рекордное количество больных коронавирусом за сутки,22.08.2020,514
21,В Одесском порту стартовала традиционная парусная регата,22.08.2020,455
22,Труханов поинтересовался подготовкой школ к новому учебному году,22.08.2020,381
23,DELFI: Обещанного министром подарка одесситам ко Дню независимости не будет,22.08.2020,356
24,Местные выборы-2020: в мэры Одессы хочет нардеп Дмитрук,21.08.2020,609
25,Одесская прокуратура направила в суд обвинение против совладельца сгоревшего отеля,21.08.2020,292
26,COVID-19 в Одессе: 117 новых случаев за последние сутки,21.08.2020,372
27,"В Одесской области 170 человек заболели коронавирусом, командующий ВМС — тоже",21.08.2020,822
28,В Украине подтвердили за сутки 2 106 новых случаев заболевания СOVID-19,21.08.2020,277
29,В Одессе снимают очередное кино,21.08.2020,330
30,Купленный на торгах американцами стадион «Черноморец» арестовали,21.08.2020,376
31,Кабмин «перетасовал» одесские вузы,21.08.2020,359
32,«Красная» карантинная зона расширена: какая территория Одесской области вошла в неё,21.08.2020,569
33,В Одессе состоялось заседание штаба по ситуации с танкером «DELFI»,20.08.2020,330
34,С 20 августа в Одессе усилены ограничения в общественном транспорте,20.08.2020,340
35,Кому в Одессе 21 августа «вырубят» свет,20.08.2020,608
36,Одесский порт получил престижную награду,20.08.2020,403
37,COVID-19 в Одессе: за сутки 65 новых больных,20.08.2020,375
38,Куцый готовит школы Одесской области к новому учебному году вместе с Красным Крестом,20.08.2020,429
39,Имя праворадикала Стерненко фигурирует в деле об убийстве журналиста Шеремета,20.08.2020,322
40,В одесских судах появились новые кадры в мантиях,20.08.2020,669
41,Зеленский уволил главную чиновницу Подольского района Одесской области,20.08.2020,617
42,Полиция у жителя Беляевки Одесской области обнаружила склад оружия,19.08.2020,320
43,Одесские пограничники проявили бдительность: не дали вывезти тепловизоры,19.08.2020,306
44,Кому в Одессе 20 августа отключат свет,19.08.2020,635
45,В Одесской области двух детей на матрасе унесло от берега лимана,19.08.2020,267
46,Почему судовладелец Delfi пытается в суде блокировать его поднятие,19.08.2020,835
47,Тяжелобольного моряка удалось эвакуировать из Анголы,19.08.2020,453
48,Укрзализныця ко Дню Независимости назначила два дополнительных поезда из Одессы,19.08.2020,337
49,"COVID-19 в Одессе: за сутки 57 новых случаев, один летальный",19.08.2020,327
50,"COVID-19 в Одесской области: за сутки 123 новых больных, 1 умерший",19.08.2020,1302
51,Министр Степанов обещает вторую волну коронавируса в Украине осенью,19.08.2020,662
52,19 августа — Яблочный Спас,19.08.2020,234
53,Кому в Одессе отключат воду в ночь на 20 августа,19.08.2020,323
54,Индия соблазнилась одесским карбамидом,18.08.2020,329
55,Командующий ВМС Украины ушёл на больничный,18.08.2020,273
56,Кто в Одессе 19 августа останется без света,18.08.2020,631
57,Мининфраструктуры готовит Одесский порт к государственно-частному партнёрству,18.08.2020,279
58,Одесская королева шашек успешно выступила на престижном Кубке Наций,18.08.2020,184
59,Одесский моряк получил награду за мужество в борьбе с пиратами,18.08.2020,684
60,COVID-19 в Одессе: Эпидемическая ситуация ухудшается с каждым днём,18.08.2020,1137
61,"COVID-19 в Одесской области: за сутки 96 новых больных, Беляевка в «красной» зоне",18.08.2020,3196
62,"COVID-19 в Украине: за сутки 1 616 новых заболевших, 27 умерших",18.08.2020,302
63,Что будет со стадионом «Черноморец» после смены его хозяина,18.08.2020,374
64,ВАКС заочно арестовал владельца одесского «Инфоксводоканала»,18.08.2020,595
65,Кому в Одессе 19 августа отключат газ,18.08.2020,306
66,В Одессе за неделю родились четыре двойни,17.08.2020,285
67,Кто в Одессе 18 августа останется без света,17.08.2020,744
68,Причерноморское госгеологическое предприятие уйдёт с молотка,17.08.2020,277
69,САП: Ни одно дело по Труханову не закрыто,17.08.2020,336
70,В Одесском морпорту завершается реконструкция причала №7,17.08.2020,417
71,"Полицейские нашли автомобиль, который насмерть сбил одесситку возле «7 километра»",17.08.2020,1018
72,За последние сутки в Одессе 30 новых случаев COVID-19,17.08.2020,616
73,"COVID-19 в Одесской области: за сутки 98 заболевших, умерших нет",17.08.2020,401
74,При какой эпидемиологической ситуации могут перенести местные выборы в Украине,17.08.2020,423
75,Кому в Одессе 17 августа отключат свет,17.08.2020,537
76,"COVID-19 в Одесской области: за сутки 93 заболевших, 1 — умер",16.08.2020,381
